/home/gc/Dataset/resize_oneface/095_3.bmp,234,134,80,80
/home/gc/Dataset/resize_oneface/095_0.bmp,213,130,96,96
/home/gc/Dataset/resize_oneface/095_2.bmp,221,140,89,89
/home/gc/Dataset/resize_oneface/095_4.bmp,225,128,95,95
/home/gc/Dataset/resize_oneface/095_1.bmp,235,133,81,81
/home/gc/Dataset/resize_oneface/411_2.bmp,214,134,105,105
/home/gc/Dataset/resize_oneface/411_4.bmp,208,144,99,99
/home/gc/Dataset/resize_oneface/411_0.bmp,234,137,95,95
/home/gc/Dataset/resize_oneface/411_1.bmp,208,147,86,86
/home/gc/Dataset/resize_oneface/411_3.bmp,228,139,86,86
/home/gc/Dataset/resize_oneface/055_3.bmp,124,381,71,71
/home/gc/Dataset/resize_oneface/055_2.bmp,200,129,121,121
/home/gc/Dataset/resize_oneface/055_4.bmp,167,128,126,126
/home/gc/Dataset/resize_oneface/055_1.bmp,182,142,95,95
/home/gc/Dataset/resize_oneface/055_0.bmp,162,294,90,90
/home/gc/Dataset/resize_oneface/080_2.bmp,207,132,92,92
/home/gc/Dataset/resize_oneface/080_1.bmp,224,143,80,80
/home/gc/Dataset/resize_oneface/080_3.bmp,210,123,115,115
/home/gc/Dataset/resize_oneface/080_0.bmp,209,116,110,110
/home/gc/Dataset/resize_oneface/296_3.bmp,230,154,79,79
/home/gc/Dataset/resize_oneface/296_1.bmp,188,143,91,91
/home/gc/Dataset/resize_oneface/296_2.bmp,207,142,93,93
/home/gc/Dataset/resize_oneface/296_4.bmp,187,151,87,87
/home/gc/Dataset/resize_oneface/296_0.bmp,225,140,89,89
/home/gc/Dataset/resize_oneface/136_3.bmp,191,186,82,82
/home/gc/Dataset/resize_oneface/136_4.bmp,191,173,91,91
/home/gc/Dataset/resize_oneface/136_2.bmp,194,178,84,84
/home/gc/Dataset/resize_oneface/136_0.bmp,207,178,76,76
/home/gc/Dataset/resize_oneface/136_1.bmp,187,180,87,87
/home/gc/Dataset/resize_oneface/230_1.bmp,185,330,110,110
/home/gc/Dataset/resize_oneface/230_0.bmp,172,146,124,124
/home/gc/Dataset/resize_oneface/230_2.bmp,208,144,121,121
/home/gc/Dataset/resize_oneface/230_3.bmp,197,144,126,126
/home/gc/Dataset/resize_oneface/395_0.bmp,187,162,127,127
/home/gc/Dataset/resize_oneface/395_1.bmp,201,164,134,134
/home/gc/Dataset/resize_oneface/395_2.bmp,171,169,121,121
/home/gc/Dataset/resize_oneface/395_4.bmp,194,168,127,127
/home/gc/Dataset/resize_oneface/395_3.bmp,190,168,126,126
/home/gc/Dataset/resize_oneface/473_1.bmp,183,193,87,87
/home/gc/Dataset/resize_oneface/473_4.bmp,171,200,84,84
/home/gc/Dataset/resize_oneface/473_0.bmp,170,191,91,91
/home/gc/Dataset/resize_oneface/473_3.bmp,174,188,92,92
/home/gc/Dataset/resize_oneface/037_1.bmp,216,163,111,111
/home/gc/Dataset/resize_oneface/037_2.bmp,213,155,135,135
/home/gc/Dataset/resize_oneface/037_0.bmp,204,152,131,131
/home/gc/Dataset/resize_oneface/037_4.bmp,216,164,107,107
/home/gc/Dataset/resize_oneface/037_3.bmp,203,156,126,126
/home/gc/Dataset/resize_oneface/302_3.bmp,188,147,116,116
/home/gc/Dataset/resize_oneface/302_4.bmp,188,163,106,106
/home/gc/Dataset/resize_oneface/302_1.bmp,238,178,63,63
/home/gc/Dataset/resize_oneface/302_0.bmp,191,151,104,104
/home/gc/Dataset/resize_oneface/270_3.bmp,174,157,86,86
/home/gc/Dataset/resize_oneface/270_1.bmp,206,160,77,77
